,SYSTEM,CATG_MGT_PNL,ACCT_CATG,CUST_NAME,ACCT_NAME,ACCT_NO,CONT_NO,LINE_NO,GN,CN,BUSI_CODE,CONTRACT_ADDR1,CONTRACT_ADDR2,CONTRACT_ADDR3,CONTRACT_ADDR4,BUILDING_ID,INST_ADDR_FLAT,INST_ADDR_FLOR,ADDRESS,INST_ADD1,INST_ADD2,INST_ADD3,INST_ADD4
2070246,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,7,25626798,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00100010,FLAT 16-17,B,HOMEWORLD PROVIDENT CTR NORTH POINT HK,FLAT 16-17 B/F,SHOPPING ARC PROVIDENT CTR,WHARF RD,NORTH POINT HK
2070864,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,20,39043557,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,21211201,FLAT G3,G,ALBION PLAZA 2-6 GRANVILLE RD TSIM SHA TSUI KLN,FLAT G3 G/F,ALBION PLAZA,2-6 GRANVILLE RD,TSIM SHA TSUI KLN
2071528,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,1,21897241,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00003164,SHOP S32-38,2,KORNHILL PLAZA N KORNHILL QUARRY BAY HK,SHOP S32-38 2/F,KORNHILL PLAZA N,1 KORNHILL RD,QUARRY BAY HK
2072808,ONOP,BDEL,IC,FORTRESS,OBSO10177137,10177137,2,21868462,GN00412,CN00000171,VOICE,OBSO10177137,OBSO10177137,OBSO10177137,OBSO10177137,00001089,,G,FUK SHING MANS 89-93A MA TAU WAI RD HUNG HOM KLN,G/F,FUK SHING MANS,89-93A MA TAU WAI RD,HUNG HOM KLN
2078207,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,15,35292432,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00012654,SHOP 258,2,SHOPPING ARCADE EAST POINT CITY TSEUNG KWAN O NT,SHOP 258 2/F,SHOPPING ARCADA,EAST POINT CITY,TSEUNG KWAN O KLN
2082569,ONOP,BDEL,IC,FORTRESS,FORTRESS,11887825,14,36902191,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00020539,,G,SHOPPING MALL METROPOLE BLDG NORTH POINT HK,G/F,SHOPPING MALL,METROPOLE BLDG,NORTH POINT HK
2091871,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF AS WATSON GROUP (HK) LTD",452394,1,25290093,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00006749,,,TRUST TOWER 68 JOHNSTON RD WAN CHAI HK,BASEMENT,TRUST TOWER,68-74 JOHNSTON RD,HK
2095059,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,9,28736423,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00012077,SHOP 27,G,MEI KWONG CRT ABERDEEN CTR ABERDEEN HK,SHOP 27 G/F BLOCK P,MEI KWONG CRT 11 NAM NING ST,ABERDEEN CTR,ABERDEEN HK
2104724,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,12,36902390,GN00412,CN00000171,VOICE,6/F,WATSON HSE,1-5 WO LIU HANG RD,SHATIN NT,00101018,SHOP G031-G033,G,TUEN MUN TOWN PLZ COMM CTR TUEN MUN TOWN PLZ TUEN MUN NT,SHOP G031-G033 G/F,TUEN MUN TOWN PLZ COMM CTR PH 1,TUEN MUN TOWN PLAZA,TUEN MUN NT
2135751,ONOP,BDEL,IC,FORTRESS,FORTRESS,171,1,28730680,GN00412,CN00000171,VOICE,FLAT 513-516 5/F,HUTCHISON LOGISTICS CENTRE,18 CONTAINER PORT RD S,KWAI CHUNG NT,00007462,COMM RM,6,WATSON HSE 1-5 WO LIU HANG RD SHA TIN NT,COMM RM 6/F,WATSON HSE,1-5 WO LIU HANG RD,SHATIN NT
