,SYSTEM,CATG_MGT_PNL,ACCT_CATG,CUST_NAME,ACCT_NAME,ACCT_NO,CONT_NO,LINE_NO,GN,CN,BUSI_CODE,CONTRACT_ADDR1,CONTRACT_ADDR2,CONTRACT_ADDR3,CONTRACT_ADDR4,BUILDING_ID,INST_ADDR_FLAT,INST_ADDR_FLOR,ADDRESS,INST_ADD1,INST_ADD2,INST_ADD3,INST_ADD4
2366208,ONOP,BDEL,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,1,25555113,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,00019853,,,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG
2389852,ONOP,BDEL,IC,FORTRESS,FORTRESS,10391712,1,21867206,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00090499,,3,MARITIME SQUARE 33 TSING KING RD TSING YI NT,3/F,SHOP 305-306  MARITINE SQUARE,TSING KING RD,Tsing Yi NT
2393446,ONOP,BDEL,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,1,25555119,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,00019853,,1,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,1/F,CAVENDISH CTR,23 YIP HING ST,WONG CHUK HANG HK
2403059,ONOP,BDEL,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,1,25555122,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,00019853,,1,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,1/F,CAVENDISH CTR,23 YIP HING ST,WONG CHUK HANG HK
2403060,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,14,25550719,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00019853,,1,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,1/F,CAVENDISH CTR,23 YIP HING ST,WONG CHUK HANG HK
2408110,ONOP,BDEL,IC,FORTRESS,FORTRESS,171,1,25549946,GN00412,CN00000171,VOICE,FLAT 513-516 5/F,HUTCHISON LOGISTICS CENTRE,18 CONTAINER PORT RD S,KWAI CHUNG NT,00007462,COMM RM,6,WATSON HSE 1-5 WO LIU HANG RD SHA TIN NT,COMM RM 6/F,WATSON HSE,1-5 WO LIU HANG RD,SHATIN NT
2416507,ONOP,,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,2,11005359,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,,,,,,,,
2444766,ONOP,BDEL,IC,FORTRESS,FORTRESS,10177137,1,21868464,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00001089,,1,FUK SHING MANS 89-93A MA TAU WAI RD HUNG HOM KLN,1/F,FUK SHING MANS,89-93A MA TAU WAI RD,HUNG HOM KLN
2447537,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF AS WATSON GROUP (HK) LTD",452394,1,25273098,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00006749,,,TRUST TOWER 68 JOHNSTON RD WAN CHAI HK,BASEMENT,TRUST TOWER,68-74 JOHNSTON RD,HK
2449962,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,20,39043558,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,21211201,FLAT G3,G,ALBION PLAZA 2-6 GRANVILLE RD TSIM SHA TSUI KLN,FLAT G3 G/F,ALBION PLAZA,2-6 GRANVILLE RD,TSIM SHA TSUI KLN
2451325,ONOP,,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,16,29221456,GN00412,CN00000171,VOICE,6/F,WATSON HSE,1-5 WO LIU HANG RD,SHATIN NT,,,,,,,,
2467903,ONOP,,IC,FORTRESS,FORTRESS,171,1,81218687,GN00412,CN00000171,VOICE,FLAT 513-516 5/F,HUTCHISON LOGISTICS CENTRE,18 CONTAINER PORT RD S,KWAI CHUNG NT,,,,,,,,
2473192,ONOP,BDEL,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,1,25555125,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,00019853,,1,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,1/F,CAVENDISH CTR,23 YIP HING ST,WONG CHUK HANG HK
2496418,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,23,36950193,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00006582,SHOP B2-10,B2,THE KOWLOON HOTEL 19-21 NATHAN RD TSIM SHA TSUI KLN,SHOP B2-10 B2/F,THE KOWLOON HOTEL,19-21 NATHAN RD,TSIM SHA TSUI KLN
2518082,ONOP,,IC,FORTRESS,FORTRESS,171,1,81700089,GN00412,CN00000171,VOICE,FLAT 513-516 5/F,HUTCHISON LOGISTICS CENTRE,18 CONTAINER PORT RD S,KWAI CHUNG NT,,,,,,,,
2524373,ONOP,BDEL,IC,FORTRESS,FORTRESS,10470748,1,21229359,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00090486,SHOP139-141,.,+WOO KINGSWOOD VILLAS TIN SHUI WAI NT,SHOP 139-141 /F,KINGSWOOD GINZA SHOP ARCADE PH 1,KINGSWOOD VILLAS,TIN SHUI WAI NT
2525876,ONOP,BDEL,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,1,25555706,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,00019853,,,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG
2539840,ONOP,BDEL,IC,FORTRESS,FORTRESS,10177137,1,21218641,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00000814,,.,FESTIVAL WALK 80 TAT CHEE AVE KOWLOON TONG KLN,/F,"MTR01, LEVEL MTR,FESTIVAL WALK",80 TAK CHI AVENUE,Kowloon KLN
2542219,ONOP,BDEL,IC,FORTRESS,FORTRESS,10177137,1,21218660,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00000814,,.,FESTIVAL WALK 80 TAT CHEE AVE KOWLOON TONG KLN,/F,"MTR01, LEVEL MTR,FESTIVAL WALK",80 TAK CHI AVENUE,Kowloon Tong KLN
2546302,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,13,24811100,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00010596,SHOP C89,2,SHOPPING CTR KWAI CHUNG PLZ KWAI CHUNG NT,SHOP C89 2/F,KWAI CHUNG PLAZA SHOPPING CTR,KWAI CHUNG PLAZA,KWAI CHUNG NT
2548461,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,4,25200323,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00020203,FLAT 5,G,HOPEWELL CTR 183 KENNEDY RD WAN CHAI HK,FLAT 5 G/F,HOPEWELL CTR,183 QUEEN'S RD E,WAN CHAI HK
2549037,ONOP,BDEL,IC,FORTRESS,FORTRESS,10391712,1,21867219,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00090499,,3,MARITIME SQUARE 33 TSING KING RD TSING YI NT,3/F,SHOP 305-306  MARITINE SQUARE,TSING KING RD,Tsing Yi NT
2551049,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,12,36902391,GN00412,CN00000171,VOICE,6/F,WATSON HSE,1-5 WO LIU HANG RD,SHATIN NT,00101018,SHOP G031-G033,G,TUEN MUN TOWN PLZ COMM CTR TUEN MUN TOWN PLZ TUEN MUN NT,SHOP G031-G033 G/F,TUEN MUN TOWN PLZ COMM CTR PH 1,TUEN MUN TOWN PLAZA,TUEN MUN NT
2563317,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF AS WATSON GROUP (HK) LTD",452394,1,25292114,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00006749,,,TRUST TOWER 68 JOHNSTON RD WAN CHAI HK,BSEMENT,TRUST TOWER,68-74 JOHNSTON RD,HK
2581758,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,18,31631931,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00010639,SHOP 202-207,L2,BLOCK 3 LUNG WAN ST 8 METROPOLIS PLZ SHEUNG SHUI NT,SHOP 202-207 L2/F BLOCK 3,,METROPOLIS PLAZA,SHEUNG SHUI NT
2583216,ONOP,BDEL,IC,FORTRESS,FORTRESS,10177137,1,21868354,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00001089,,3,FUK SHING MANS 89-93A MA TAU WAI RD HUNG HOM KLN,3/F,FUK SHING MANS,89-93A MA TAU WAI RD,HUNG HOM KLN
2587615,ONOP,BDEL,IC,FORTRESS,FORTRESS,10391712,1,21867218,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00090499,,3,MARITIME SQUARE 33 TSING KING RD TSING YI NT,3/F,SHOP 305-306  MARITINE SQUARE,TSING KING RD,Tsing Yi NT
2601454,ONOP,BDEL,IC,FORTRESS,FORTRESS,10391712,2,31562925,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00003439,SHOP 419-423,L4,LANDMARK NORTH SHEK WU HUI 39 LUNG SUM AVE SHEUNG SHUI NT,SHOP 419-423 L4/F,LANDMARK NORTH SHEK WU HUI,39 LUNG SUM AVE,SHEUNG SHUI NT
2605247,ONOP,BDEL,IC,FORTRESS,FORTRESS,171,1,25559349,GN00412,CN00000171,VOICE,FLAT 513-516 5/F,HUTCHISON LOGISTICS CENTRE,18 CONTAINER PORT RD S,KWAI CHUNG NT,00019853,,,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,1/F,CAVENDISH CENTRE,23 YIP HING ST,WONG CHUK HANG
2613357,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,20,39043559,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,21211201,FLAT G3,G,ALBION PLAZA 2-6 GRANVILLE RD TSIM SHA TSUI KLN,FLAT G3 G/F,ALBION PLAZA,2-6 GRANVILLE RD,TSIM SHA TSUI KLN
2617200,ONOP,BDEL,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,1,25555101,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,00019853,,,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG
2617651,ONOP,BDEL,IC,FORTRESS,FORTRESS,10177137,1,21868352,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00001089,,3,FUK SHING MANS 89-93A MA TAU WAI RD HUNG HOM KLN,3/F,FUK SHING MANS,89-93A MA TAU WAI RD,HUNG HOM KLN
2619787,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,1,21239004,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00003164,SHOP S32-38,2,KORNHILL PLAZA N KORNHILL QUARRY BAY HK,SHOP S32-38 2/F,KORNHILL PLAZA N,1 KORNHILL RD,QUARRY BAY HK
2633320,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,7,35250112,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,21100104,SHOP 109,1,SHOPPING MALL (1-2/F) THE VICTORIA TOWERS TSIM SHA TSUI KLN,SHOP 109 1/F,SHOPPING MALL,THE VICTORIA,TSIM SHA TSUI KLN
2636322,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,13,24851303,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00010596,SHOP C89,2,SHOPPING CTR KWAI CHUNG PLZ KWAI CHUNG NT,SHOP C89 2/F,KWAI CHUNG PLAZA SHOPPING CTR,KWAI CHUNG PLAZA,KWAI CHUNG NT
2643662,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,4,31651342,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00002072,SHOP NO.G7-G12,G,HOLLYWOOD PLAZA 610 NATHAN RD MONG KOK KLN,SHOP NO.G7-G12 G/F,HOLLYWOOD PLAZA,610 NATHAN RD,MONG KOK KLN
2646112,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF AS WATSON GROUP (HK) LTD",452394,1,28612625,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00006749,,,TRUST TOWER 68 JOHNSTON RD WAN CHAI HK,G/F,TRUST TOWER,68-74 JOHNSTON RD,HK
2650015,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,15,35292431,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00012654,SHOP 196,1,SHOPPING ARCADE EAST POINT CITY TSEUNG KWAN O NT,SHOP 196 1/F,SHOPPING ARCADA,EAST POINT CITY,TSEUNG KWAN O KLN
2650016,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,15,35292435,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00012654,SHOP 258,2,SHOPPING ARCADE EAST POINT CITY TSEUNG KWAN O NT,SHOP 258 2/F,SHOPPING ARCADA,EAST POINT CITY,TSEUNG KWAN O KLN
2657906,ONOP,BDEL,IC,FORTRESS,FORTRESS,10177137,1,21218638,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00000814,,.,FESTIVAL WALK 80 TAT CHEE AVE KOWLOON TONG KLN,/F,"MTR01, LEVEL MTR,FESTIVAL WALK",80 TAK CHI AVENUE,Kowloon Tong KLN
2662457,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,4,25200863,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00020203,FLAT 5,G,HOPEWELL CTR 183 KENNEDY RD WAN CHAI HK,FLAT 5 G/F,HOPEWELL CTR,183 QUEEN'S RD E,WAN CHAI HK
2664930,ONOP,BDEL,IC,FORTRESS,FORTRESS,10177137,1,21218655,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00000814,,.,FESTIVAL WALK 80 TAT CHEE AVE KOWLOON TONG KLN,/F,"MTR01, LEVEL MTR,FESTIVAL WALK",80 TAK CHI AVENUE,Kowloon Tong KLN
2668920,ONOP,BDEL,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,1,25555710,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,00019853,,,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG
2681591,ONOP,BDEL,IC,FORTRESS,FORTRESS,10391712,2,31562926,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00003439,SHOP 419-423,L4,LANDMARK NORTH SHEK WU HUI 39 LUNG SUM AVE SHEUNG SHUI NT,SHOP 419-423 L4/F,LANDMARK NORTH SHEK WU HUI,39 LUNG SUM AVE,SHEUNG SHUI NT
2688742,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,18,31631936,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00010639,SHOP 202-207,L2,BLOCK 3 LUNG WAN ST 8 METROPOLIS PLZ SHEUNG SHUI NT,SHOP 202-207 L2/F BLOCK 3,,METROPOLIS PLAZA,SHEUNG SHUI NT
2694280,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,1,21231484,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00003164,SHOP S32-38,2,KORNHILL PLAZA N KORNHILL QUARRY BAY HK,SHOP S32-38 2/F,KORNHILL PLAZA N,1 KORNHILL RD,QUARRY BAY HK
2697814,ONOP,BDEL,IC,FORTRESS,FORTRESS,10177137,1,21868355,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00001089,,3,FUK SHING MANS 89-93A MA TAU WAI RD HUNG HOM KLN,3/F,FUK SHING MANS,89-93A MA TAU WAI RD,HUNG HOM KLN
2700333,ONOP,BDEL,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,1,21809649,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,00090510,,1,PASSENGER TERMINAL BLDG CHEONG HONG RD CHEK LAP KOK ISL,1/F,CAVENDISH CTR,23 YIP HING ST,WONG CHUK HANG HK
2712027,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,11,23687963,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00020548,SHOP 8 & 17,G,MIRADOR MANS (3-R/F) 54-64B NATHAN RD TSIM SHA TSUI KLN,SHOP 8 & 17 G/F,MIRADOR MANS,54-64B NATHAN RD,TSIM SHA TSUI KLN
2712667,ONOP,,IC,FORTRESS,FORTRESS,171,1,81218755,GN00412,CN00000171,VOICE,FLAT 513-516 5/F,HUTCHISON LOGISTICS CENTRE,18 CONTAINER PORT RD S,KWAI CHUNG NT,,,,,,,,
2714162,ONOP,BDEL,IC,FORTRESS,FORTRESS,10920106,1,21231381,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00000814,,G,FESTIVAL WALK 80 TAT CHEE AVE KOWLOON TONG KLN,G/F,FESTIVAL WALKS,YAU YAT CHUEN,Kowloon KLN
2728533,ONOP,BDEL,IC,FORTRESS,FORTRESS,11887825,6,31522729,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00013498,SHOP UG011-012,UG,METRO CITY PLAZA 2 METRO CITY PLZ TSEUNG KWAN O NT,SHOP UG011-012 UG/F,METRO CITY SHOPPING ARCADE PH 2,METRO CITY,TSEUNG KWAN O KLN
2735217,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,5,27570477,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00090390,FLAT 55,1,AMOY PLAZA 77 NGAU TAU KOK RD NGAU TAU KOK KLN,FLAT 55 1/F,AMOY PLAZA PH 1,,NGAU TAU KOK KLN
2739132,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,3,31628362,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,21300105,SHOP 772,L7,METROPOLIS SHOPPING ARCADE 10 METROPOLIS DRV HUNG HOM KLN,SHOP 772 L7/F,METROPOLIS SHOPPING ARCADE,METROPOLIS,HUNG HOM KLN
2764707,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,12,36902594,GN00412,CN00000171,VOICE,6/F,WATSON HSE,1-5 WO LIU HANG RD,SHATIN NT,00101018,SHOP G031-G033,G,TUEN MUN TOWN PLZ COMM CTR TUEN MUN TOWN PLZ TUEN MUN NT,SHOP G031-G033 G/F,TUEN MUN TOWN PLZ COMM CTR PH 1,TUEN MUN TOWN PLAZA,TUEN MUN NT
2765687,ONOP,BDEL,IC,FORTRESS,OBSO10177137,10177137,2,21868464,GN00412,CN00000171,VOICE,OBSO10177137,OBSO10177137,OBSO10177137,OBSO10177137,00001089,,1,FUK SHING MANS 89-93A MA TAU WAI RD HUNG HOM KLN,1/F,FUK SHING MANS,89-93A MA TAU WAI RD,HUNG HOM KLN
2781358,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,9,28147848,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00012077,SHOP 27,G,MEI KWONG CRT ABERDEEN CTR ABERDEEN HK,SHOP 27 G/F BLOCK P,MEI KWONG CRT 11 NAM NING ST,ABERDEEN CTR,ABERDEEN HK
2801569,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,25,39070411,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00007563,SHOP 316 & 317C,L3,WINDSOR HSE 311 GLOUCESTER RD CAUSEWAY BAY HK,SHOP 316 & 317C L3/F,WINDSOR HSE,311 GLOUCESTER RD,CAUSEWAY BAY HK
2828540,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,12,25587768,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00013549,SHOP 306-7,3,NEW JADE SHOPPING ARCADE NEW JADE GDN CHAI WAN HK,SHOP 306-7 3/F,NEW JADE SHOPPING ARCADE,NEW JADE GDN,CHAI WAN HK
2832181,ONOP,BDEL,IC,FORTRESS,FORTRESS,10391712,1,21867291,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00090499,,3,MARITIME SQUARE 33 TSING KING RD TSING YI NT,3/F,SHOP 305-306  MARITINE SQUARE,TSING KING RD,Tsing Yi NT
2833704,ONOP,,IC,FORTRESS,FORTRESS,171,1,81215185,GN00412,CN00000171,VOICE,FLAT 513-516 5/F,HUTCHISON LOGISTICS CENTRE,18 CONTAINER PORT RD S,KWAI CHUNG NT,,,,,,,,
2846202,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,14,25545753,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00007462,COMM RM,6,WATSON HSE 1-5 WO LIU HANG RD SHA TIN NT,COMM RM 6/F,WATSON HSE,1-5 WO LIU HANG RD,SHATIN NT
2853377,ONOP,,IC,FORTRESS,FORTRESS,171,1,81218522,GN00412,CN00000171,VOICE,FLAT 513-516 5/F,HUTCHISON LOGISTICS CENTRE,18 CONTAINER PORT RD S,KWAI CHUNG NT,,,,,,,,
2877866,ONOP,BDEL,IC,FORTRESS,FORTRESS,10177137,1,21218798,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00000814,MTR01,MTR,FESTIVAL WALK 80 TAT CHEE AVE KOWLOON TONG KLN,MTR01 MTR/F,FESTIVAL WALK,80 TAT CHEE AVE,KOWLOON TONG KLN
